_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,km,registration,year,address,status,previous_owners,transmission,fuel,fuel_consumption,emissions_gCO2/km,seller,Column 18,Column 19,Column 20
"ObjectId(""5eff3b6c156a97c639b6f8e4"")",75d7ea1c-f9db-42b7-b654-2e943e8e1f0a,https://www.autoscout24.it/annunci/hyundai-kona-ev-64-kwh-exellence-elettrica-rosso-75d7ea1c-f9db-42b7-b654-2e943e8e1f0a?cldtidx=3&cldtsrc=listPage,Hyundai Kona,EV 64 kWh Exellence,€ 37.500,10,02/2020,2020,38,Usato,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Motorauto Spa,IT,52100 Arezzo - Ar,
"ObjectId(""5eff3b6c156a97c639b6f8e5"")",e09e4354-d1dc-4e8f-b991-773fe757b0b5,https://www.autoscout24.it/annunci/porsche-taycan-turbo-s-pdcc-sportdesign-21-mobile-chargerconnect-elettrica-bianco-e09e4354-d1dc-4e8f-b991-773fe757b0b5?cldtidx=7&cldtsrc=listPage,Porsche Taycan,"Turbo S PDCC SportDesign 21"" Mobile ChargerConnect",€ 207.800,2900,06/2020,2020,77,Usato,1,-/- (Tipo di cambio),Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Auto Tscholl,IT,39100 Bolzano - Bz,
"ObjectId(""5eff3b6c156a97c639b6f8e6"")",3c5573c1-dc13-4c53-9031-349966339503,https://www.autoscout24.it/annunci/mini-cooper-s-se-full-electric-versione-xl-elettrica-blu-azzurro-3c5573c1-dc13-4c53-9031-349966339503?cldtidx=9&cldtsrc=listPage,MINI Cooper S,SE Full Electric Versione XL,€ 33.900,3000,02/2020,2020,17,Aziendale,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",NANNI NEMBER SRL,IT,25126 Brescia - Bs,
"ObjectId(""5eff3b6c156a97c639b6f8e7"")",b34c6def-007c-4240-a79e-090be94b33f9,https://www.autoscout24.it/annunci/mini-cooper-s-se-full-electric-versione-l-elettrica-grigio-b34c6def-007c-4240-a79e-090be94b33f9?cldtidx=8&cldtsrc=listPage,MINI Cooper S,SE Full Electric Versione L,€ 31.900,4500,02/2020,2020,17,Aziendale,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",NANNI NEMBER SRL,IT,25126 Brescia - Bs,
"ObjectId(""5eff3b6c156a97c639b6f8e8"")",f5ad2486-7c2f-4372-a5a8-987b1616c4af,https://www.autoscout24.it/annunci/mini-cooper-s-se-full-electric-versione-xl-elettrica-blu-azzurro-f5ad2486-7c2f-4372-a5a8-987b1616c4af?cldtidx=10&cldtsrc=listPage,MINI Cooper S,SE Full Electric Versione XL,€ 33.900,3500,02/2020,2020,17,Aziendale,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",NANNI NEMBER SRL,IT,25126 Brescia - Bs,
"ObjectId(""5eff3b6c156a97c639b6f8e9"")",b257150a-1ec1-44a1-971b-98371e17d03e,https://www.autoscout24.it/annunci/suzuki-sx4-s-cross-1-4-hybrid-4wd-starview-elettrica-bianco-b257150a-1ec1-44a1-971b-98371e17d03e?cldtidx=11&cldtsrc=listPage,Suzuki SX4 S-Cross,1.4 HYBRID 4WD STARVIEW,€ 22.950,1,02/2020,2020,131,KM0,1,Manuale,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",I.M. Spa,IT,00034 Colleferro - Roma - Rm,
"ObjectId(""5eff3b6c156a97c639b6f8ea"")",bdfc0319-4dfa-4bb1-86bb-046562308da0,https://www.autoscout24.it/annunci/mercedes-benz-b-electric-drive-b-sport-e-electric-drive-elettrica-nero-bdfc0319-4dfa-4bb1-86bb-046562308da0?cldtidx=12&cldtsrc=listPage,Mercedes-Benz B Electric Drive,B Sport e (Electric Drive),€ 20.900,9500,11/2017,2017,89,Usato,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Carraro Spa,Servizio Clienti,IT,
"ObjectId(""5eff3b6c156a97c639b6f8eb"")",5afb1363-6ebd-4b70-bc74-0e993582d493,https://www.autoscout24.it/annunci/renault-zoe-intens-r110-flex-elettrica-grigio-5afb1363-6ebd-4b70-bc74-0e993582d493?cldtidx=13&cldtsrc=listPage,Renault ZOE,Intens R110 Flex,€ 16.990,7826,06/2019,2019,110,Aziendale,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Autostriatto Srl,IT,22066 Mariano Comense - Como,
"ObjectId(""5eff3b6c156a97c639b6f8ec"")",8fdfc4b6-b48b-4c43-b7fa-b8f2cf9ac856,https://www.autoscout24.it/annunci/mini-cooper-se-xl-elettrica-nero-8fdfc4b6-b48b-4c43-b7fa-b8f2cf9ac856?cldtidx=14&cldtsrc=listPage,MINI Cooper,SE XL,€ 36.900,10,03/2020,2020,17,KM0,1,Automatico,Elettrica,"14,8 l/100 km (comb.) 2","0 g CO2/km (comb.) 2""]",AUTOTORINO SPA,IT,22100 Como - Co,
"ObjectId(""5eff3b6c156a97c639b6f8ed"")",ca670c47-4b21-4d63-b0da-0576b1fe4fff,https://www.autoscout24.it/annunci/mini-cooper-se-l-elettrica-ca670c47-4b21-4d63-b0da-0576b1fe4fff?cldtidx=15&cldtsrc=listPage,MINI Cooper,SE L,€ 33.900,100,03/2020,2020,17,KM0,1,Automatico,Elettrica,"14,8 l/100 km (comb.) 2","0 g CO2/km (comb.) 2""]",AUTOTORINO SPA,IT,22100 Como - Co,
