_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,vehicle_data,seller,country,address
ObjectId("5eff3b6c156a97c639b6f7c7"),c2b0cbd4-fbc8-4a8e-a9bd-65708b19dfef,https://www.autoscout24.it/annunci/jaguar-i-pace-ev-400-auto-awd-first-edition-elettrica-grigio-c2b0cbd4-fbc8-4a8e-a9bd-65708b19dfef?cldtidx=1&cldtsrc=listPage,Jaguar I-Pace,EV 400 Auto AWD First Edition,€ 69.900,- 12,"["8.500 km","07/2018","294 kW (400 CV)","Aziendale","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Gidauto Srl,IT,31050 Villorba - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7c8"),2dbc0286-a528-481c-8b45-cec3df48d515,https://www.autoscout24.it/annunci/jaguar-i-pace-ev400-auto-awd-se-borasco-edition-elettrica-grigio-2dbc0286-a528-481c-8b45-cec3df48d515?cldtidx=2&cldtsrc=listPage,Jaguar I-Pace,EV400 Auto AWD SE Borasco Edition,€ 80.900,- 12,"["100 km","12/2020","294 kW (400 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Gidauto Srl,IT,31050 Villorba - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7c9"),009d996b-a2ef-450c-b1ba-3e602c7b23b9,https://www.autoscout24.it/annunci/jaguar-i-pace-ev400-auto-awd-se-elettrica-grigio-009d996b-a2ef-450c-b1ba-3e602c7b23b9?cldtidx=3&cldtsrc=listPage,Jaguar I-Pace,EV400 Auto AWD SE,€ 80.690,- 12,"["10 km","-/- (Anno)","294 kW (400 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Gidauto Srl,Responsabile Usato,IT
ObjectId("5eff3b6c156a97c639b6f7ca"),4bf85531-59da-4694-8939-978101583ab7,https://www.autoscout24.it/annunci/opel-corsa-e-0-e-elegance-elettrica-grigio-4bf85531-59da-4694-8939-978101583ab7?cldtidx=4&cldtsrc=listPage,Opel Corsa,-e 0 E-Elegance,€ 22.900,- 2,"["- km","-/- (Anno)","- kW (- CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Scai Motor Srl,IT,43126 Parma - Pr
ObjectId("5eff3b6c156a97c639b6f7cb"),00215ec6-012d-41de-8ac3-c3387ff5c4a7,https://www.autoscout24.it/annunci/tesla-model-3-2019-tetto-full-opt-elettrica-rosso-00215ec6-012d-41de-8ac3-c3387ff5c4a7?cldtidx=5&cldtsrc=listPage,Tesla Model 3,2019 TETTO FULL OPT,€ 49.800,- 2,"["12.300 km","06/2019","225 kW (306 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3","14 kWh/100 km (comb.) 3"]",Privacar - Padova,IT,35010 Limena - Padova - PD
ObjectId("5eff3b6c156a97c639b6f7cc"),a2d1eed3-946c-4c05-a3ea-bc1395d2c1ea,https://www.autoscout24.it/annunci/bmw-i3-s-120-ah-advantage-elettrica-a2d1eed3-946c-4c05-a3ea-bc1395d2c1ea?cldtidx=6&cldtsrc=listPage,BMW i3,s 120 Ah Advantage,€ 47.070,- 12,"["- km","-/- (Anno)","135 kW (184 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Tullo Pezzo srl,IT,46100 San Giorgio - Mantova - MN
ObjectId("5eff3b6c156a97c639b6f7cd"),f00afbfa-ed18-4def-be9b-83fd3b1e792e,https://www.autoscout24.it/annunci/tesla-model-s-85-performance-supercharger-gratis-a-vita-elettrica-blu-azzurro-f00afbfa-ed18-4def-be9b-83fd3b1e792e?cldtidx=7&cldtsrc=listPage,Tesla Model S,85 performance supercharger gratis a vita,€ 41.900,- 2,"["188.000 km","02/2014","441 kW (600 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",LF Auto srl,IT,42021 Barco di Bibbiano - Reggio Emilia
ObjectId("5eff3b6c156a97c639b6f7ce"),9e67b893-ff6a-4a3a-b12f-02fefa04d5d7,https://www.autoscout24.it/annunci/kia-soul-e-64-kwh-style-elettrica-bianco-9e67b893-ff6a-4a3a-b12f-02fefa04d5d7?cldtidx=8&cldtsrc=listPage,Kia Soul,e- 64 kWh Style,€ 33.250,- 12,"["- km","-/- (Anno)","150 kW (204 CV)","Nuovo","-/- (Proprietari)","Manuale","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Autogrifone Srl,IT,41126 Modena
ObjectId("5eff3b6c156a97c639b6f7cf"),8fc49686-c55d-4597-8907-d3a9504b89c5,https://www.autoscout24.it/annunci/nissan-leaf-30kwh-109cv-elettrica-bianco-8fc49686-c55d-4597-8907-d3a9504b89c5?cldtidx=10&cldtsrc=listPage,Nissan Leaf,30KWh 109CV,€ 13.500,- 12,"["4.000 km","02/2017","80 kW (109 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Auto Art Srl,IT,31037 Ramon Di Loria - Treviso - Tv
ObjectId("5eff3b6c156a97c639b6f7d0"),47a273a9-9658-157a-e053-0100007f27b7,https://www.autoscout24.it/annunci/tesla-model-x-100-d-elettrica-nero-47a273a9-9658-157a-e053-0100007f27b7?cldtidx=9&cldtsrc=listPage,Tesla Model X,100 D,€ 84.000,-,"["34.000 km","09/2018","158 kW (215 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Privato, ,IT,20010 Bareggio
